order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046785,21/08/2017,53.63,1.00,1,MS135-TAF2:F1909K-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TEM,FALSE,,MS125-TEI-NA-S,,,0,,,
P046785,21/08/2017,71.81,1.00,2,MS055-SHT-BW-XXL,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TEH,56,,MS125-TEI-NA-M,,,,,,
P046785,21/08/2017,71.81,1.00,3,MS260-SHT-GY-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TAM,13,,MS125-TEI-NA-L,,,,,,
P046785,21/08/2017,53.63,1.00,4,MS246-TAK-OL-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,TAH,137,,MS125-TEI-NA-XL,,,,,,
P046785,21/08/2017,80.90,1.00,5,MS280-POL-GY-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,CAA,0,,MS125-TEI-NA-XXL,,,,,,
P046785,21/08/2017,53.63,1.00,6,MS045-TAH-GY-XXL,FALSE,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAS,0,,MS106-TEI-GB-S,,,,,,
P046785,22/08/2017,80.90,1.00,7,MS280-POL-GY-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,HOP,5,,MS106-TEI-GB-M,,,,,,
P046785,22/08/2017,53.63,1.00,8,MS135-TAK-BK-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,HOZ,72,,MS106-TEI-GB-L,,,,,,
P046785,23/08/2017,90.00,1.00,9,MS270-HOZ-GY-XXL,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SHT,420,,MS106-TEI-GB-XL,,,,,,
P046785,24/08/2017,71.81,1.00,10,MS255-SHT-NA-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SHF,10,,MS106-TEI-GB-XXL,,,,,,
