product_id,title,SKU,regular_price,price,stock_quantity,created_at,updated_at,managing_stock,vendor,permalink,categories,image,brand,variant,tags
,Apache Tshirt ,MS125-TEI-NA-S,,10.8,16,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= S,
,Apache Tshirt ,MS125-TEI-NA-M,,10.8,31,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= M,
,Apache Tshirt,MS125-TEI-NA-L,,10.8,36,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= L,
,Apache Tshirt,MS125-TEI-NA-XL,,10.8,20,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= XL,
,Apache Tshirt,MS125-TEI-NA-XXL,,10.8,7,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= 2XL,
,X tshirt,MS106-TEI-GB-S,,9.05,8,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= S,
,X tshirt,MS106-TEI-GB-M,,9.05,13,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= M,
,X tshirt,MS106-TEI-GB-L,,9.05,20,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= L,
,X tshirt,MS106-TEI-GB-XL,,9.05,10,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= XL,
,X tshirt,MS106-TEI-GB-XXL,,9.05,4,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= 2XL,
,Gradient Tshirt,MS110-TEK-GY-S,,8.1,16,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= S",
,Gradient Tshirt,MS110-TEK-GY-M,,8.1,31,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= M",
,Gradient Tshirt,MS110-TEK-GY-L,,8.1,36,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= L",
,Gradient Tshirt,MS110-TEK-GY-XL,,8.1,20,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= XL",
,Gradient Tshirt,MS110-TEK-GY-XXL,,8.1,7,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= 2XL",
,Gradient Tshirt,MS111-TEK-BU-S,,8.1,12,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= S",
,Gradient Tshirt,MS111-TEK-BU-M,,8.1,22,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= M",
,Gradient Tshirt,MS111-TEK-BU-L,,8.1,27,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= L",
,Gradient Tshirt,MS111-TEK-BU-XL,,8.1,15,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= XL",
,Gradient Tshirt,MS111-TEK-BU-XXL,,8.1,7,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,"Color = Heather Grey, Size= 2XL",
,Icon Tshirt,MS120-TEK-BU-S,,8.3,12,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= S,
,Icon Tshirt,MS120-TEK-BU-M,,8.3,22,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= M,
,Icon Tshirt,MS120-TEK-BU-L,,8.3,27,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= L,
,Icon Tshirt,MS120-TEK-BU-XL,,8.3,15,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= XL,
,Icon Tshirt,MS120-TEK-BU-XXL,,8.3,4,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= 2XL,
,Pro Elite Tank,MS130-TAI-BK-S,,8.3,16,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= S,
,Pro Elite Tank,MS130-TAI-BK-M,,8.3,31,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= M,
,Pro Elite Tank,MS130-TAI-BK-L,,8.3,36,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= L,
,Pro Elite Tank,MS130-TAI-BK-XL,,8.3,20,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= XL,
,Pro Elite Tank,MS130-TAI-BK-XXL,,8.3,7,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= 2XL,
,Killing It Tank,MS135-TAK-BK-S,,7.65,16,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= S,
,Killing It Tank,MS135-TAK-BK-M,,7.65,31,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= M,
,Killing It Tank,MS135-TAK-BK-L,,7.65,36,2016-03-7,,true,Winwave Technology corp.,,T shirt,,,Size= L,
